SET @citizen_id = NULL;

-- Batch insert for all incidents (optimized for performance)
INSERT INTO Incident (type, level, description, latitude, longitude, status, time_reported, time_resolved, citizen_id) VALUES
-- January 2024 (15 incidents)
('FIRE', 'HIGH', 'Residential building fire', 30.0444, 31.2357, 'RESOLVED', '2024-01-05 10:30:00', '2024-01-05 13:45:00', @citizen_id),
('FIRE', 'MEDIUM', 'Vehicle fire on highway', 30.0626, 31.2497, 'RESOLVED', '2024-01-08 14:20:00', '2024-01-08 15:30:00', @citizen_id),
('FIRE', 'MEDIUM', 'Kitchen fire in apartment', 30.0555, 31.2280, 'RESOLVED', '2024-01-20 18:45:00', '2024-01-20 20:00:00', @citizen_id),
('MEDICAL', 'HIGH', 'Heart attack emergency', 30.0444, 31.2357, 'RESOLVED', '2024-01-03 08:30:00', '2024-01-03 09:15:00', @citizen_id),
('MEDICAL', 'HIGH', 'Car accident with injuries', 30.0626, 31.2497, 'RESOLVED', '2024-01-07 16:45:00', '2024-01-07 17:30:00', @citizen_id),
('MEDICAL', 'MEDIUM', 'Broken leg fall', 30.0331, 31.2331, 'RESOLVED', '2024-01-10 11:20:00', '2024-01-10 12:00:00', @citizen_id),
('MEDICAL', 'HIGH', 'Severe allergic reaction', 30.0555, 31.2280, 'RESOLVED', '2024-01-18 19:00:00', '2024-01-18 19:45:00', @citizen_id),
('MEDICAL', 'MEDIUM', 'Sports injury', 30.0444, 31.2357, 'RESOLVED', '2024-01-25 14:30:00', '2024-01-25 15:15:00', @citizen_id),
('CRIME', 'HIGH', 'Armed robbery in progress', 30.0444, 31.2357, 'RESOLVED', '2024-01-06 23:15:00', '2024-01-07 00:30:00', @citizen_id),
('CRIME', 'MEDIUM', 'Shoplifting incident', 30.0626, 31.2497, 'RESOLVED', '2024-01-11 15:30:00', '2024-01-11 16:15:00', @citizen_id),
('CRIME', 'MEDIUM', 'Vandalism report', 30.0876, 31.3421, 'RESOLVED', '2024-01-22 07:30:00', '2024-01-22 08:30:00', @citizen_id),
('CRIME', 'HIGH', 'Domestic violence call', 30.0555, 31.2280, 'RESOLVED', '2024-01-25 02:15:00', '2024-01-25 03:30:00', @citizen_id),
('MEDICAL', 'LOW', 'Minor cuts', 30.0876, 31.3421, 'RESOLVED', '2024-01-14 13:30:00', '2024-01-14 14:15:00', @citizen_id),
('FIRE', 'LOW', 'Trash bin fire', 30.0331, 31.2331, 'RESOLVED', '2024-01-12 09:15:00', '2024-01-12 09:45:00', @citizen_id),
('CRIME', 'LOW', 'Noise complaint', 30.0331, 31.2331, 'RESOLVED', '2024-01-16 21:00:00', '2024-01-16 21:45:00', @citizen_id),

-- February 2024 (18 incidents)
('FIRE', 'HIGH', 'Factory warehouse fire', 30.0626, 31.2497, 'RESOLVED', '2024-02-09 20:15:00', '2024-02-10 02:45:00', @citizen_id),
('FIRE', 'MEDIUM', 'Electrical fire in office', 30.0444, 31.2357, 'RESOLVED', '2024-02-02 11:30:00', '2024-02-02 13:00:00', @citizen_id),
('FIRE', 'MEDIUM', 'Car fire in parking lot', 30.0876, 31.3421, 'RESOLVED', '2024-02-19 09:45:00', '2024-02-19 10:30:00', @citizen_id),
('FIRE', 'HIGH', 'Multi-unit apartment fire', 30.0555, 31.2280, 'RESOLVED', '2024-02-24 03:00:00', '2024-02-24 07:15:00', @citizen_id),
('MEDICAL', 'HIGH', 'Stroke emergency', 30.0444, 31.2357, 'RESOLVED', '2024-02-01 06:45:00', '2024-02-01 07:30:00', @citizen_id),
('MEDICAL', 'HIGH', 'Motorcycle accident', 30.0331, 31.2331, 'RESOLVED', '2024-02-10 12:30:00', '2024-02-10 13:45:00', @citizen_id),
('MEDICAL', 'MEDIUM', 'Sports injury at gym', 30.0626, 31.2497, 'RESOLVED', '2024-02-05 17:20:00', '2024-02-05 18:00:00', @citizen_id),
('MEDICAL', 'MEDIUM', 'Diabetic emergency', 30.0555, 31.2280, 'RESOLVED', '2024-02-20 16:00:00', '2024-02-20 16:45:00', @citizen_id),
('MEDICAL', 'HIGH', 'Construction accident', 30.0876, 31.3421, 'RESOLVED', '2024-02-15 10:30:00', '2024-02-15 12:00:00', @citizen_id),
('CRIME', 'HIGH', 'Bank robbery', 30.0626, 31.2497, 'RESOLVED', '2024-02-08 14:15:00', '2024-02-08 16:00:00', @citizen_id),
('CRIME', 'MEDIUM', 'Break-in attempt', 30.0444, 31.2357, 'RESOLVED', '2024-02-03 04:30:00', '2024-02-03 05:45:00', @citizen_id),
('CRIME', 'MEDIUM', 'Public intoxication', 30.0876, 31.3421, 'RESOLVED', '2024-02-18 22:45:00', '2024-02-18 23:30:00', @citizen_id),
('CRIME', 'HIGH', 'Assault case', 30.0555, 31.2280, 'RESOLVED', '2024-02-23 01:15:00', '2024-02-23 02:30:00', @citizen_id),
('MEDICAL', 'LOW', 'Minor burn treatment', 30.0876, 31.3421, 'RESOLVED', '2024-02-15 10:15:00', '2024-02-15 10:45:00', @citizen_id),
('FIRE', 'LOW', 'Grass fire in park', 30.0331, 31.2331, 'RESOLVED', '2024-02-14 14:20:00', '2024-02-14 15:00:00', @citizen_id),
('CRIME', 'LOW', 'Parking dispute', 30.0331, 31.2331, 'RESOLVED', '2024-02-13 18:30:00', '2024-02-13 19:00:00', @citizen_id),
('MEDICAL', 'MEDIUM', 'Chest pain', 30.0444, 31.2357, 'RESOLVED', '2024-02-27 09:00:00', '2024-02-27 10:15:00', @citizen_id),
('CRIME', 'MEDIUM', 'Vehicle theft', 30.0626, 31.2497, 'RESOLVED', '2024-02-28 03:00:00', '2024-02-28 04:30:00', @citizen_id),

-- March 2024 (16 incidents)
('FIRE', 'HIGH', 'Chemical plant fire', 30.0331, 31.2331, 'RESOLVED', '2024-03-16 15:45:00', '2024-03-17 01:00:00', @citizen_id),
('FIRE', 'MEDIUM', 'Restaurant kitchen fire', 30.0626, 31.2497, 'RESOLVED', '2024-03-11 21:00:00', '2024-03-11 23:30:00', @citizen_id),
('FIRE', 'MEDIUM', 'Garage fire', 30.0876, 31.3421, 'RESOLVED', '2024-03-22 08:20:00', '2024-03-22 09:45:00', @citizen_id),
